Run,Generation,Individual Index,Fitness,Amplitude,Phase,Offset
1,0,0,0.0,"[0.12476447102364185, 0.07725643480306904, 0.39369827678042285, 0.04753284441203692, 0.4958917520808375, 0.09940029926275312, 0.31022034064475573, 0.30142066938260526, 0.028278738646565382, 0.2853835721602391, 0.05959076951740938, 0.3782164032812698, 0.14274482648154535, 0.2835758686828848, 0.09157111806175094, 0.27749784494811347, 0.49056341055043057, 0.4723721234964782]","[3.7460211825196383, 2.251846136891427, 3.7851519224227834, 2.91328622176252, 0.597873026664313, 2.8890798401300017, 2.9809800276274507, 1.7934104214652928, 3.923341213749709, 4.525802466990896, 2.6164562622896055, 3.7908771518626385, 0.3986646700501609, 4.026899634139495, 2.5118475655030816, 5.570613593897513, 5.767178611849958, 2.229392155624345]","[-0.4585118760817781, 0.2654037162976879, 0.49512595555062155, 0.005287990630074901, -0.12600479062807346, 0.2965853334659573, 0.047061050377405156, -0.36954874934035753, -0.23052436283697975, 0.3060321274808283, 0.3556028927007, -0.06603150425375004, -0.34621830772085826, -0.3043163033081554, 0.4893600574585748, 0.25033120391511154, 0.2101198651277829, -0.3740513699312764]"
1,0,1,0.0,"[0.0794235629696109, 0.18547105756347237, 0.059330717555114876, 0.37012002461235594, 0.4945317298264168, 0.3451455622686343, 0.003707757757752228, 0.3617548545535275, 0.011107974813777566, 0.3212774881183522, 0.24690288854000475, 0.12266206438753102, 0.18561555919052014, 0.05016347478998767, 0.2792891101315269, 0.23471360946673764, 0.0922282394178367, 0.33534507248769474]","[2.6588741503021676, 0.043092390026261015, 2.0839536020820932, 4.091240116187959, 5.792490004419828, 1.6408130023835374, 5.96793528225375, 1.5013245589049096, 3.217926594295296, 1.393746352540323, 4.735764240619874, 0.33358967545165447, 1.3278134933432597, 3.1328475869607355, 3.3352569909967213, 1.8258167322128331, 0.4774970902270643, 1.727695801698844]","[-0.20261622295771986, -0.09119982117050895, -0.3146410694560321, -0.3022048313213639, -0.2519737735306994, -0.08370904023266346, 0.410803031378295, 0.37784781927541855, -0.29172880576054994, -0.4772773146800062, -0.45720775313454454, -0.15937785264079984, 0.00018241093859194812, -0.353363150584065, -0.004923180198659116, -0.2763451748930553, -0.17922810274691303, 0.010364576782005086]"
1,0,2,0.0,"[0.2925057200032753, 0.0013156650209772969, 0.020954735497492605, 0.04936000864350654, 0.3327952071554988, 0.3464956122748138, 0.04155043817411663, 0.31020643353161437, 0.07926343554108528, 0.3264094182328597, 0.4065085497996668, 0.049272878785648566, 0.20238300938427545, 0.12293821597388727, 0.09303918600661598, 0.48265467357656267, 0.3324384465074607, 0.22030909625034095]","[4.275433502532964, 3.115682226008717, 3.8483358836106323, 2.3484995481922586, 1.6067341435393336, 6.037651282647066, 0.9016423468259575, 5.279915538489732, 2.7211965767618715, 0.8081747639364867, 1.0875234942842371, 1.3130928982908816, 5.638231938074485, 4.719268027576851, 5.386083563337974, 0.7633045838486185, 3.565320152370522, 5.979340535445443]","[0.30010988025362495, 0.1483030995863479, 0.11149265840554301, 0.41236021593535144, 0.3024744857806362, 0.12445237754249183, 0.2793670331272925, 0.4117003117013682, -0.4745497787044738, 0.30858481808975524, -0.316813764217574, -0.4906327671699603, -0.027172216691494055, -0.3470891913654245, 0.43247512859949266, 0.4036775322132605, -0.36050701704611976, -0.22134648594367112]"
1,0,3,0.0,"[0.3399333410462844, 0.09350179675748099, 0.3428809551701451, 0.3860691764922094, 0.22898665264670875, 0.38149706514614823, 0.21832537979486938, 0.10714163547346761, 0.06112649875162568, 0.48954157895829187, 0.3849449955233795, 0.005793253708915813, 0.202352849513875, 0.28797331729557, 0.1455566301268731, 0.035268398691754965, 0.2972799319974601, 0.48095011256906334]","[0.39296578164961515, 0.7151459673616016, 5.027578115953735, 1.0723253007892761, 3.407520016460813, 0.14423794961307315, 5.4738711691780315, 0.7238707444636281, 2.8967204308446157, 1.190637887620134, 1.3870900038996181, 1.383637322615635, 2.596001841638194, 5.015430593261116, 5.724599642410213, 1.9753185208908581, 3.6722759186910237, 5.368616892571572]","[-0.18528510909628992, 0.20510947076436148, -0.2853672083009299, 0.2734505169671254, 0.48115963562970776, 0.0902853885416135, 0.016862883678691487, -0.46979265462084163, -0.3659137035458103, -0.44992037767314064, -0.17400387603054535, 0.3368465480026581, -0.08691868427517435, -0.12042258448508447, 0.44851329392778205, 0.2848316551344373, 0.42444635201862424, 0.4685943067948123]"
1,0,4,0.0,"[0.048481955831313206, 0.20112905082606913, 0.09919735004619595, 0.3961211017988011, 0.40681788230774385, 0.1102693995350218, 0.12170690473657747, 0.2004402010501496, 0.07537539293267242, 0.32460770691419216, 0.4257026429201149, 0.009610871779487551, 0.14819355816741747, 0.00987710024335331, 0.038310249620857106, 0.462433128937834, 0.3452491280891018, 0.09592497890533985]","[0.8271588805472322, 0.4298657735117692, 0.9801094045130039, 0.10220635083233347, 5.663804787853565, 2.9845554380570425, 2.2896862886577405, 3.0805635023926756, 4.702136299336953, 0.3878808537333521, 0.2123004996263265, 4.433806414321562, 4.666123408695784, 5.737294105462469, 3.2274967540373622, 3.655906518216647, 3.47705131971681, 5.737930898508025]","[-0.1418025309014168, -0.29538450713053455, -0.16472110634651504, -0.044308849669753014, -0.18490197492925609, -0.1325889474262656, -0.144698102576427, 0.11293323674711564, 0.3541760617205181, -0.4246065713700453, -0.2649757911878061, 0.09860694499273615, -0.029410760367000632, -0.21169916764702545, -0.4719214815434407, 0.4350384541490683, -0.04331522620295458, 0.06920500780649019]"
1,0,5,0.0,"[0.1356170557430338, 0.3352030309923558, 0.3706242696502677, 0.46597567502185805, 0.06673018667987735, 0.2974663061648789, 0.34080744559018505, 0.11298356757917366, 0.2520238456077422, 0.4970457740859458, 0.44241651105970453, 0.037168846356511576, 0.21123883535557803, 0.29779592342231426, 0.3838163095462417, 0.438083415877367, 0.3358161694774728, 0.4239068057317092]","[4.262719237491025, 4.078549317640667, 4.7864263298953045, 4.04535664892496, 5.530982067824746, 0.3509017142244751, 2.39525385488091, 5.801010129574538, 4.439930099447666, 2.1725716447808434, 1.4792308404075745, 3.3379339878818945, 5.52734711851421, 3.184154672347982, 2.877557158824832, 1.8895615288122485, 2.967696680226874, 5.90480097497434]","[0.24974078948346512, 0.3852730809287894, 0.006915781798261689, 0.22460804676439905, 0.4685531954872326, 0.491188288139378, -0.1364052058903481, -0.22103271799920954, 0.15637166706455308, 0.008583713599271459, 0.15827271602343518, 0.406071808181919, 0.46423524632143465, 0.023525758599924784, -0.17654403675322639, 0.11874108622357149, 0.002766584123066518, -0.25893224511834523]"
1,0,6,0.0,"[0.2135477341270221, 0.3799882914046084, 0.01169326776163876, 0.14220442475437606, 0.4818970933431667, 0.0075217453378332855, 0.08687899357006701, 0.19756291250546382, 0.4589112824400546, 0.03007037151164693, 0.24211743046155143, 0.22995281532699097, 0.06449752500154016, 0.38240838155685014, 0.23037594150358953, 0.3321772037927468, 0.27237375876810455, 0.008476801877203177]","[0.13091501808962935, 1.7421604149668213, 1.6362324372599104, 1.5019046698574803, 1.7709018650757553, 2.578550468035404, 4.060127036428959, 0.04925572951364679, 5.803472704746973, 2.7791427293913316, 4.657677138467867, 4.525169328272098, 2.044240224965118, 2.683394569412917, 3.4889854954249686, 4.385279946211935, 5.8992470741419645, 3.7357858724960247]","[0.4808285587944864, 0.39207968048200714, -0.04549153780787918, -0.23460601244000645, 0.295429090746852, 0.0582055889706502, -0.28768651551608826, -0.014748883060878848, -0.310036536162012, -0.15812770794682585, -0.2991648523123426, 0.1831855705117228, 0.3939203454847132, 0.35928540814875953, 0.14079500496440522, -0.05887414777148481, -0.3208720470013683, 0.16758551454980652]"
1,0,0,0.0,"[0.054787684781954005, 0.29591550456338217, 0.37564029025461726, 0.339780189783906, 0.43450446151575195, 0.26948765317359, 0.3160574819643369, 0.22413676187598452, 0.15970770080589292, 0.02971188228269056, 0.15673983091793126, 0.4666556713154395, 0.44908281070205136, 0.06052697475565244, 0.19649270975378552, 0.37807063453209966, 0.245750753544629, 0.41713441748189617]","[6.168378576237146, 5.65382447352131, 5.642276843169494, 1.3796009826356064, 2.9321021448370814, 3.5717431734567855, 2.1057684240042196, 5.636089896192853, 3.689216349859645, 6.248989348366503, 4.961705285323027, 4.361841085064739, 1.6451027319218068, 6.231176205440218, 4.228512452180225, 1.814178127750651, 5.549690997909351, 5.4808852288539445]","[0.47573480016155323, -0.07542713442535087, -0.2802284347165144, 0.43105326300560143, -0.2820735723932012, 0.27161976335688176, 0.1175510562450165, -0.42662293192518264, 0.4451524209714506, 0.1681566360640636, 0.06324470614644917, -0.3627613923650761, 0.3035818086036891, -0.32807106514819084, -0.22620742480081957, 0.3037243580164858, -0.1028792043886867, -0.033319933270230306]"
1,0,1,0.0,"[0.21332584879499938, 0.399384472156754, 0.28608886170446685, 0.10562877445641328, 0.005314418603968696, 0.04453048192345288, 0.18567355244750355, 0.09704528794070016, 0.09236283594226286, 0.025093867873091202, 0.1980492401583157, 0.13169595626795821, 0.032776600980585935, 0.32637192334015497, 0.24580006318242803, 0.08196912120556715, 0.12096800070484953, 0.08191897658268998]","[3.1444527814962746, 1.4837752234942752, 4.691144937350535, 5.654538517806552, 4.088387399416624, 3.138402197194471, 2.9292948624941584, 3.9207898718702676, 3.379551653460943, 1.7952213121742524, 4.154868819148237, 0.01871059996852417, 5.678048465078807, 4.4886259609720724, 2.6577310595889942, 2.200613139594656, 0.6162018125516143, 4.129183419486454]","[0.14495653771486816, 0.23708264780486898, 0.4873976438842935, 0.02517405771431558, 0.1749158606762502, -0.14564940279408256, 0.12111553342302472, -0.2769826376589266, -0.031276291902302966, 0.14312641120602765, -0.3566682657800221, 0.19936914777050085, 0.23184984097371863, -0.09577976664376475, 0.3700688880837556, -0.38175240434754054, 0.2356361477748461, 0.1369874836044166]"
1,0,2,0.0,"[0.1174307286377656, 0.025918177928689834, 0.09659695315039946, 0.3076261071621965, 0.1563663883581325, 0.2821318950212256, 0.22766839875093764, 0.28175474893129837, 0.060466278856270705, 0.11492929022836312, 0.47165280347164956, 0.08476434627075352, 0.14609006440775468, 0.013637602350068834, 0.24500652067126583, 0.45714275279156974, 0.33600424297986975, 0.34099709188403365]","[0.9459986174532485, 6.162475307405304, 3.524258610696619, 2.2532976787228676, 1.1316919360247653, 3.3834807772288706, 3.5258228019783315, 2.724443472570122, 5.241557851501355, 3.4558612184866755, 4.296751100253475, 4.652107343337931, 2.231408091704859, 5.450381263460852, 3.8113380222654367, 3.827422928418572, 0.6365129962738116, 5.7895308666733705]","[-0.2613452467804164, 0.4808798988465992, 0.42065061964842143, -0.0021626720756144913, -0.21078767449808633, 0.22581513129550235, 0.4140241030146725, 0.3456312890025144, 0.14091110643981775, 0.18495493297670973, -0.0877464850120051, 0.060407064820923506, 0.27852082323274496, -0.3412528626710243, -0.3650495560858762, -0.3078317240112305, -0.3514743827831267, -0.3559721793869478]"
1,0,3,0.0,"[0.13977367791042744, 0.12995706446456234, 0.40732584529670657, 0.10999363735274248, 0.23254282459547687, 0.08682875233425963, 0.4971543308384774, 0.344155842916365, 0.08887352469245818, 0.012781035865631452, 0.028027165817626154, 0.17111050676370254, 0.1942720172955017, 0.434361076822577, 0.2128131628016275, 0.40238083163073396, 0.006152401532104557, 0.16103871761672145]","[5.818869712432666, 4.796803990950694, 2.301833911060539, 4.782976942963357, 5.2881384471610104, 2.782233495054662, 3.4768655395386254, 4.475799381389432, 4.2393149166539015, 4.43444998199037, 1.1883144040473264, 3.911787865023333, 3.798795087697227, 2.7360530984890423, 4.430735094210213, 2.1637696700066846, 0.9511706575628728, 5.0296749032252865]","[-0.18729718208302404, 0.3105071447007359, -0.08622664631316046, -0.2877800082091153, 0.4026538922561521, -0.10501784185939878, -0.2273587212109821, -0.054606501718704736, 0.13076363987797435, 0.2527822339634811, -0.06594694815139668, -0.31635975576004716, 0.007191830466642513, -0.2067137738795004, -0.30530737652530493, -0.4745387171599903, 0.023431899241210585, -0.08455280159786505]"
1,0,4,0.0,"[0.4552884848076317, 0.09307382919628443, 0.3576685318608104, 0.28936511553838107, 0.030971519119292967, 0.2728451756348318, 0.07000164523725011, 0.17302883817328357, 0.009030057137957903, 0.20051917123614404, 0.18257899662275928, 0.15685333635486914, 0.3649741712359736, 0.1505618404404393, 0.21861900694027486, 0.07359526233263641, 0.17227666200695024, 0.23269049944448522]","[5.601572170902395, 3.789428297163197, 4.640025266204226, 2.7962309181989435, 1.3095484361112946, 6.11698396828375, 4.419873549931313, 1.8491582360867758, 5.977373838324877, 3.213734520030838, 1.2390319884370942, 3.402371294383678, 5.666901245875804, 1.9377373842767536, 4.76397377854738, 4.697786252736808, 2.5817901075390908, 5.8000966359923645]","[0.37937019060663435, 0.14035803501907518, -0.3518741197416564, 0.04531411028958965, 0.36542066237453996, 0.48660806132585877, -0.07152567827812373, 0.3673015248327929, -0.3665773021382811, -0.4647363616010115, -0.27334720759016173, 0.06977887969600982, -0.12755274281462747, 0.42338979716552805, -0.4141422117365685, 0.29870975190528604, -0.42120353092888596, 0.11588531826783677]"
1,0,5,0.0,"[0.01202453042841961, 0.15147188182478066, 0.17169305997542467, 0.217474245327188, 0.2557408193818625, 0.01621878958916545, 0.4140489363441201, 0.23245070822944736, 0.4602983237960901, 0.429643088551329, 0.32618594380504473, 0.28920663438060507, 0.21784983597876717, 0.19164954301106585, 0.0914996328266175, 0.09654847810024358, 0.3223616663466812, 0.3145541321307616]","[4.266179999049007, 5.778621241046532, 0.5848065717648719, 3.042491458265299, 2.3915626362200255, 3.6823851403309984, 3.106303273516266, 1.2991852579099419, 4.461205306605121, 5.976398694199138, 2.3776949491765857, 0.4271923219039565, 1.480905332729917, 3.373630597452393, 1.6994791295320268, 1.2302324026816662, 0.552029104895684, 2.9612417645429803]","[0.43215698404503156, -0.1961586771731516, -0.05595397648875722, -0.4402559385993219, 0.35422395902163084, 0.21288669304736108, -0.22948211498054683, 0.16201304548665207, 0.10127181711446609, -0.13483133732909802, -0.4794887623079187, -0.12945936076235842, 0.30165793559638876, 0.1400316022638468, 0.3729740441436209, 0.2798264743688297, 0.3121161530128068, 0.25874913778806063]"
